chave_curva,chave_familia,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_referencia,mes_referencia,preco_nominal,tipo,valor_fipe,codigo_marca,codigo_modelo,codigo_ano,origem
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2024-05,maio/2024,212553.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2024-07,julho/2024,211129.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2024-09,setembro/2024,209022.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2024-11,novembro/2024,206936.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2025-01,janeiro/2025,204871.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2025-03,março/2025,202826.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2025-05,maio/2025,200801.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2025-07,julho/2025,198797.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2025-09,setembro/2025,196813.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2025-11,novembro/2025,197250.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2026-01,janeiro/2026,200266.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2026-03,março/2026,197548.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2026-05,maio/2026,195577.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-04,04/2024,309790.000000,zero_km,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-05,maio/2024,287794.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-06,junho/2024,286786.000000,usado,,,,,
017104-2|32000|diesel|excluir,jeep|commander|base|diesel|excluir,017104-2,Jeep,Commander Overl. 2.2 TD 4x4 Diesel Aut.,32000,Diesel,2024-07,julho/2024,285868.000000,usado,,,,,
